product name, amount in pack, unit, cal, price
ingredient133, 500, ml, 752.8, 3.69
ingredient134, 400, ml, 374.0, 0.99
ingredient135, 200, g, 654.0, 7.79
ingredient136, 500, ml, 352.9, 11.69
ingredient137, 6, pcs, 72.0, 15.39
ingredient138, 250, g, 788.0, 14.69
ingredient139, 11, pcs, 37.0, 12.19
ingredient140, 200, ml, 79.1, 6.99
ingredient141, 900, ml, 673.0, 15.19
ingredient142, 550, g, 388.6, 16.39
ingredient143, 10, pcs, 150.9, 15.09
ingredient144, 1000, ml, 401.3, 19.59
ingredient145, 450, g, 419.4, 2.89
ingredient146, 700, ml, 441.1, 19.49
ingredient147, 1000, ml, 295.7, 16.19
ingredient148, 300, g, 104.1, 5.19
ingredient149, 8, pcs, 72.6, 15.79
ingredient150, 300, g, 101.8, 3.69
ingredient151, 11, pcs, 67.6, 2.89
ingredient152, 1100, ml, 514.5, 13.89
ingredient153, 800, ml, 708.1, 8.39
ingredient154, 200, ml, 122.5, 1.49
ingredient155, 400, g, 570.4, 16.79
ingredient156, 800, ml, 226.7, 17.49
ingredient157, 5, pcs, 93.2, 10.49
ingredient158, 900, ml, 189.7, 9.29
ingredient159, 700, ml, 637.9, 4.19
ingredient160, 550, g, 231.1, 17.59
ingredient161, 800, ml, 623.0, 17.09
ingredient162, 50, g, 71.8, 12.29
ingredient163, 10, pcs, 155.7, 17.69
ingredient164, 300, g, 703.4, 7.09
ingredient165, 350, g, 210.8, 15.49
ingredient166, 800, ml, 356.5, 4.19
ingredient167, 10, pcs, 68.7, 14.59
ingredient168, 1000, ml, 533.9, 3.09
ingredient169, 5, pcs, 9.1, 12.59
ingredient170, 550, g, 667.4, 4.19
ingredient171, 900, ml, 336.7, 16.29
ingredient172, 100, g, 336.8, 14.09
ingredient173, 6, pcs, 78.6, 15.39
ingredient174, 450, g, 180.7, 13.49
ingredient175, 350, g, 653.6, 18.99
ingredient176, 100, ml, 549.0, 17.29
ingredient177, 150, g, 361.5, 3.89
ingredient178, 1000, ml, 317.8, 4.29
ingredient179, 2, pcs, 110.3, 0.99
ingredient180, 300, g, 141.8, 13.19
ingredient181, 10, pcs, 26.3, 12.29
ingredient182, 400, ml, 53.3, 19.09
ingredient183, 350, g, 414.3, 17.49
ingredient184, 200, g, 26.9, 6.29
ingredient185, 1100, ml, 229.8, 16.49
ingredient186, 900, ml, 157.3, 8.19
ingredient187, 1000, ml, 164.8, 19.69
ingredient188, 1100, ml, 593.3, 8.79
ingredient189, 900, ml, 232.9, 13.39
ingredient190, 350, g, 455.1, 13.49
ingredient191, 8, pcs, 124.1, 7.59
ingredient192, 500, ml, 367.3, 8.49
ingredient193, 2, pcs, 90.4, 8.69
ingredient194, 100, ml, 205.5, 8.29
ingredient195, 300, g, 20.5, 2.09
ingredient196, 50, g, 243.2, 5.29
ingredient197, 1, pcs, 29.4, 0.79
ingredient198, 300, g, 527.6, 18.39
ingredient199, 7, pcs, 19.2, 16.49
ingredient200, 450, g, 74.1, 18.09
ingredient201, 200, g, 146.6, 1.69
ingredient202, 350, g, 446.6, 10.99
ingredient203, 500, g, 31.5, 12.19
ingredient204, 800, ml, 221.3, 7.89
ingredient205, 250, g, 773.4, 7.89
ingredient206, 200, g, 152.1, 3.59
ingredient207, 400, ml, 613.8, 11.59
ingredient208, 250, g, 469.7, 19.09
ingredient209, 700, ml, 272.3, 17.79
ingredient210, 1000, ml, 295.7, 16.39
ingredient211, 10, pcs, 98.7, 9.39
ingredient212, 600, ml, 253.3, 12.19
ingredient213, 550, g, 453.3, 3.89
ingredient214, 1100, ml, 444.3, 7.59
ingredient215, 550, g, 756.5, 14.99
ingredient216, 550, g, 101.2, 17.69
ingredient217, 400, g, 695.9, 5.79
ingredient218, 50, g, 356.1, 10.49
ingredient219, 550, g, 699.6, 4.99
ingredient220, 350, g, 40.8, 13.89
ingredient221, 200, ml, 441.8, 5.69
ingredient222, 700, ml, 642.5, 17.39
ingredient223, 5, pcs, 127.4, 13.39
ingredient224, 50, g, 225.4, 5.59
ingredient225, 300, ml, 523.1, 0.79
ingredient226, 400, g, 604.7, 5.89
ingredient227, 6, pcs, 12.5, 15.39
ingredient228, 200, ml, 737.8, 6.39
ingredient229, 6, pcs, 55.6, 14.99
ingredient230, 1000, ml, 365.3, 10.39
ingredient231, 1000, ml, 22.8, 4.09
ingredient232, 1100, ml, 57.2, 6.29
ingredient233, 4, pcs, 109.0, 7.79
ingredient234, 500, ml, 197.3, 1.29
ingredient235, 450, g, 254.5, 3.19
ingredient236, 200, g, 347.3, 16.09
ingredient237, 100, ml, 103.0, 19.59
ingredient238, 350, g, 597.6, 17.09
ingredient239, 11, pcs, 94.1, 18.49
ingredient240, 400, g, 421.4, 0.59
ingredient241, 1, pcs, 146.4, 9.59
ingredient242, 900, ml, 417.4, 3.29
ingredient243, 150, g, 584.0, 9.99
ingredient244, 550, g, 460.9, 9.09
ingredient245, 1000, ml, 172.0, 3.69
ingredient246, 550, g, 287.9, 8.09
ingredient247, 500, g, 339.4, 2.29
ingredient248, 100, g, 24.9, 5.19
ingredient249, 250, g, 354.4, 11.19
ingredient250, 100, ml, 71.6, 9.79
ingredient251, 7, pcs, 13.3, 19.39
ingredient252, 700, ml, 398.9, 19.59
ingredient253, 50, g, 77.0, 13.49
ingredient254, 1000, ml, 127.8, 14.09
ingredient255, 1100, ml, 741.2, 9.09
ingredient256, 600, ml, 403.7, 18.79
ingredient257, 4, pcs, 21.5, 16.49
ingredient258, 500, ml, 365.5, 3.59
ingredient259, 50, g, 791.4, 19.09
ingredient260, 600, ml, 61.3, 7.69
ingredient261, 1100, ml, 139.1, 0.99
ingredient262, 200, ml, 242.7, 13.79
ingredient263, 10, pcs, 75.8, 14.59
ingredient264, 550, g, 219.5, 14.29
ingredient265, 250, g, 22.8, 11.59
ingredient266, 300, g, 183.5, 6.69
ingredient267, 50, g, 429.4, 8.39
ingredient268, 550, g, 382.2, 12.79
ingredient269, 9, pcs, 26.6, 14.49
ingredient270, 550, g, 258.5, 13.39
ingredient271, 2, pcs, 77.2, 11.79
ingredient272, 200, g, 214.8, 4.89
ingredient273, 700, ml, 115.1, 2.49
ingredient274, 100, g, 184.6, 12.09
ingredient275, 550, g, 438.7, 13.79
ingredient276, 50, g, 270.6, 14.69
ingredient277, 11, pcs, 159.3, 9.79
ingredient278, 700, ml, 355.8, 5.49
ingredient279, 800, ml, 741.2, 8.39
ingredient280, 1100, ml, 385.2, 10.69
ingredient281, 10, pcs, 151.2, 3.89
ingredient282, 1100, ml, 762.5, 6.49
ingredient283, 6, pcs, 27.6, 11.59
ingredient284, 400, ml, 429.3, 15.89
ingredient285, 200, ml, 27.2, 8.99
ingredient286, 450, g, 288.1, 17.19
ingredient287, 100, ml, 697.2, 16.79
ingredient288, 350, g, 303.5, 5.49
ingredient289, 8, pcs, 57.4, 3.79
ingredient290, 700, ml, 108.0, 16.79
ingredient291, 200, ml, 624.1, 1.49
ingredient292, 450, g, 309.2, 10.39
ingredient293, 7, pcs, 135.5, 5.09
ingredient294, 700, ml, 142.2, 9.99
ingredient295, 600, ml, 684.5, 14.69
ingredient296, 700, ml, 733.8, 18.39
ingredient297, 200, ml, 52.5, 9.09
ingredient298, 1100, ml, 536.7, 3.09
ingredient299, 600, ml, 160.6, 12.39
ingredient300, 500, g, 12.4, 1.69
ingredient301, 1000, ml, 258.4, 17.29
ingredient302, 500, g, 781.2, 15.59
ingredient303, 250, g, 462.8, 7.19
ingredient304, 50, g, 41.5, 9.89
ingredient305, 1100, ml, 310.9, 1.99
ingredient306, 200, g, 795.1, 9.59
ingredient307, 5, pcs, 74.1, 19.79
ingredient308, 450, g, 749.4, 16.69
ingredient309, 300, g, 537.0, 16.29
ingredient310, 450, g, 763.0, 8.49
ingredient311, 1, pcs, 108.9, 1.29
ingredient312, 1000, ml, 124.8, 14.39
ingredient313, 6, pcs, 150.5, 19.89
ingredient314, 700, ml, 642.8, 13.59
ingredient315, 400, g, 164.8, 10.19
ingredient316, 1000, ml, 551.3, 4.79
ingredient317, 11, pcs, 141.2, 13.99
ingredient318, 550, g, 92.0, 9.59
ingredient319, 300, g, 44.2, 12.69
ingredient320, 450, g, 235.0, 6.19
ingredient321, 200, g, 14.9, 8.19
ingredient322, 300, ml, 422.3, 1.59
ingredient323, 2, pcs, 134.0, 10.39
ingredient324, 700, ml, 627.2, 18.09
ingredient325, 250, g, 712.9, 2.19
ingredient326, 50, g, 494.8, 4.59
ingredient327, 100, ml, 143.2, 7.59
ingredient328, 550, g, 102.9, 11.69
ingredient329, 200, ml, 48.3, 18.39
ingredient330, 550, g, 280.6, 15.19
ingredient331, 10, pcs, 84.6, 15.39
ingredient332, 550, g, 189.5, 18.59
ingredient333, 600, ml, 677.7, 11.49
ingredient334, 300, g, 723.5, 17.99
ingredient335, 100, g, 342.3, 6.19
ingredient336, 500, g, 738.4, 7.09
ingredient337, 9, pcs, 41.9, 8.69
ingredient338, 550, g, 288.4, 17.39
ingredient339, 250, g, 41.2, 13.99
ingredient340, 150, g, 11.2, 3.79
ingredient341, 300, ml, 189.6, 9.79
ingredient342, 500, ml, 470.1, 0.69
ingredient343, 300, g, 724.3, 1.49
ingredient344, 300, g, 68.1, 8.69
ingredient345, 100, g, 701.8, 12.79
ingredient346, 350, g, 465.2, 18.09
ingredient347, 10, pcs, 37.8, 12.69
ingredient348, 50, g, 761.1, 10.79
ingredient349, 3, pcs, 8.3, 14.19
ingredient350, 550, g, 461.3, 0.99
ingredient351, 500, g, 393.7, 14.39
ingredient352, 250, g, 531.0, 12.49
ingredient353, 11, pcs, 156.7, 2.59
ingredient354, 500, g, 158.1, 17.79
ingredient355, 200, ml, 575.0, 1.39
ingredient356, 400, g, 550.8, 17.99
ingredient357, 200, g, 572.6, 8.99
ingredient358, 50, g, 340.1, 1.29
ingredient359, 11, pcs, 19.3, 3.99
ingredient360, 1100, ml, 412.5, 4.39
ingredient361, 10, pcs, 148.4, 7.39
ingredient362, 200, g, 289.4, 0.79
ingredient363, 250, g, 423.2, 16.09
ingredient364, 900, ml, 54.8, 7.79
ingredient365, 900, ml, 694.3, 9.69
ingredient366, 400, g, 94.5, 12.39
ingredient367, 10, pcs, 37.3, 9.59
ingredient368, 1000, ml, 228.1, 5.79
ingredient369, 1100, ml, 564.2, 7.69
ingredient370, 50, g, 239.6, 9.79
ingredient371, 400, g, 447.4, 16.19
ingredient372, 50, g, 36.7, 19.99
ingredient373, 3, pcs, 44.5, 13.89
ingredient374, 600, ml, 194.8, 14.09
ingredient375, 600, ml, 519.5, 4.69
ingredient376, 350, g, 456.7, 1.69
ingredient377, 500, g, 150.4, 16.69
ingredient378, 100, ml, 711.3, 14.99
ingredient379, 6, pcs, 81.8, 4.39
ingredient380, 100, ml, 768.4, 8.09
ingredient381, 100, g, 327.6, 5.69
ingredient382, 100, ml, 560.4, 18.39
ingredient383, 8, pcs, 150.2, 6.09
ingredient384, 150, g, 238.2, 12.99
ingredient385, 300, g, 593.0, 0.99
ingredient386, 100, g, 107.9, 16.89
ingredient387, 100, ml, 299.0, 7.99
ingredient388, 400, ml, 722.2, 4.99
ingredient389, 10, pcs, 77.8, 9.69
ingredient390, 500, ml, 572.6, 4.39
ingredient391, 350, g, 503.9, 14.69
ingredient392, 1100, ml, 317.8, 12.89
ingredient393, 200, ml, 73.0, 16.99
ingredient394, 250, g, 792.6, 1.79
ingredient395, 250, g, 272.8, 9.79
ingredient396, 200, ml, 717.7, 12.09
ingredient397, 3, pcs, 2.1, 7.29
ingredient398, 300, g, 592.9, 17.19
ingredient399, 800, ml, 203.6, 12.09
ingredient400, 550, g, 18.6, 12.59
ingredient401, 5, pcs, 135.6, 0.59
ingredient402, 1000, ml, 611.6, 8.39
ingredient403, 300, g, 389.8, 2.69
ingredient404, 550, g, 316.7, 18.99
ingredient405, 500, g, 310.6, 15.49
ingredient406, 550, g, 236.5, 10.79
ingredient407, 50, g, 497.7, 2.39
ingredient408, 600, ml, 547.4, 11.29
ingredient409, 3, pcs, 131.5, 7.09
ingredient410, 500, ml, 260.9, 13.29
ingredient411, 550, g, 668.1, 15.19
ingredient412, 550, g, 364.7, 12.69
ingredient413, 550, g, 62.8, 7.59
ingredient414, 600, ml, 351.6, 10.19
ingredient415, 250, g, 563.3, 3.29
ingredient416, 400, g, 321.5, 5.39
ingredient417, 800, ml, 490.4, 12.99
ingredient418, 500, ml, 170.9, 15.89
ingredient419, 3, pcs, 129.7, 4.69
ingredient420, 400, ml, 709.3, 12.59
ingredient421, 5, pcs, 61.2, 4.69
ingredient422, 200, g, 276.2, 7.29
ingredient423, 1100, ml, 208.6, 14.39
ingredient424, 300, ml, 54.1, 10.59
ingredient425, 100, ml, 288.4, 9.09
ingredient426, 200, ml, 320.3, 3.39
ingredient427, 300, ml, 629.0, 16.39
ingredient428, 350, g, 70.6, 9.59
ingredient429, 500, ml, 416.9, 12.29
ingredient430, 900, ml, 34.9, 7.09
ingredient431, 3, pcs, 121.3, 2.79
ingredient432, 300, ml, 613.2, 19.29
ingredient433, 5, pcs, 145.9, 13.69
ingredient434, 600, ml, 762.7, 16.99
ingredient435, 150, g, 326.3, 18.29
ingredient436, 250, g, 34.1, 13.49
ingredient437, 700, ml, 649.8, 1.49
ingredient438, 150, g, 262.0, 10.59
ingredient439, 6, pcs, 150.9, 9.19
ingredient440, 1100, ml, 702.9, 3.79
ingredient441, 350, g, 94.9, 9.99
ingredient442, 250, g, 571.2, 10.29
ingredient443, 9, pcs, 69.1, 0.69
ingredient444, 150, g, 314.1, 14.89
ingredient445, 600, ml, 606.4, 17.69
ingredient446, 200, g, 271.3, 15.39
ingredient447, 50, g, 602.8, 4.29
ingredient448, 200, ml, 375.9, 18.09
ingredient449, 4, pcs, 32.0, 4.59
ingredient450, 500, ml, 433.8, 17.39
ingredient451, 700, ml, 625.5, 18.59
ingredient452, 400, g, 321.8, 9.09
ingredient453, 400, g, 597.5, 2.89
ingredient454, 150, g, 747.7, 9.09
ingredient455, 500, ml, 781.4, 12.09
ingredient456, 1100, ml, 138.5, 17.39
ingredient457, 2, pcs, 50.5, 1.89
ingredient458, 1000, ml, 525.9, 11.89
ingredient459, 550, g, 422.1, 8.59
ingredient460, 350, g, 275.5, 9.29
ingredient461, 4, pcs, 102.8, 16.49
ingredient462, 100, g, 713.5, 19.69
ingredient463, 11, pcs, 71.9, 17.29
ingredient464, 150, g, 742.7, 18.99
ingredient465, 50, g, 606.6, 12.39
ingredient466, 550, g, 659.0, 18.59
ingredient467, 2, pcs, 55.6, 15.99
ingredient468, 400, ml, 231.9, 9.39
ingredient469, 150, g, 239.0, 15.49
ingredient470, 500, ml, 252.4, 15.59
ingredient471, 550, g, 71.3, 3.69
ingredient472, 550, g, 137.9, 13.49
ingredient473, 1100, ml, 755.1, 4.79
ingredient474, 1100, ml, 473.8, 13.29
ingredient475, 550, g, 483.1, 16.29
ingredient476, 400, g, 673.6, 17.49
ingredient477, 500, ml, 746.3, 19.19
ingredient478, 1000, ml, 448.7, 19.09
ingredient479, 3, pcs, 136.2, 1.59
ingredient480, 700, ml, 137.2, 13.99
ingredient481, 550, g, 454.6, 4.79
ingredient482, 200, ml, 447.2, 8.19
ingredient483, 250, g, 127.8, 2.59
ingredient484, 550, g, 167.6, 8.19
ingredient485, 400, ml, 12.8, 9.29
ingredient486, 250, g, 175.7, 9.49
ingredient487, 11, pcs, 68.0, 4.79
ingredient488, 350, g, 503.0, 14.69
ingredient489, 500, g, 153.3, 13.49
ingredient490, 150, g, 20.5, 9.79
ingredient491, 1, pcs, 116.6, 7.89
ingredient492, 250, g, 564.8, 8.09
ingredient493, 150, g, 439.2, 16.99
ingredient494, 1000, ml, 409.2, 10.49
ingredient495, 100, ml, 44.7, 18.79
ingredient496, 800, ml, 391.8, 9.39
ingredient497, 200, ml, 474.3, 11.09
ingredient498, 600, ml, 769.5, 0.59
ingredient499, 8, pcs, 126.5, 5.49
ingredient500, 700, ml, 281.8, 13.89
ingredient501, 350, g, 513.9, 8.19
ingredient502, 1100, ml, 144.0, 8.39
ingredient503, 9, pcs, 102.3, 17.59
ingredient504, 200, g, 589.7, 11.79
ingredient505, 550, g, 244.0, 10.99
ingredient506, 100, g, 207.0, 14.69
ingredient507, 1000, ml, 92.4, 12.69
ingredient508, 1100, ml, 341.7, 1.59
ingredient509, 10, pcs, 78.7, 6.59
ingredient510, 500, ml, 293.6, 9.59
ingredient511, 200, g, 487.7, 11.09
ingredient512, 400, ml, 620.4, 8.29
ingredient513, 500, ml, 714.2, 7.39
ingredient514, 1100, ml, 80.9, 13.09
ingredient515, 500, g, 210.5, 6.99
ingredient516, 600, ml, 167.3, 6.89
ingredient517, 500, g, 440.4, 14.09
ingredient518, 700, ml, 566.4, 6.79
ingredient519, 250, g, 722.8, 13.79
ingredient520, 300, g, 84.8, 18.39
ingredient521, 10, pcs, 81.7, 15.19
ingredient522, 800, ml, 685.5, 1.19
ingredient523, 3, pcs, 62.3, 12.99
ingredient524, 100, ml, 86.4, 5.99
ingredient525, 100, ml, 498.3, 13.39
ingredient526, 100, g, 473.9, 13.39
ingredient527, 1000, ml, 110.9, 2.49
ingredient528, 150, g, 520.1, 4.09
ingredient529, 6, pcs, 2.0, 10.59
ingredient530, 200, ml, 206.4, 1.49
ingredient531, 400, ml, 553.6, 16.39
ingredient532, 800, ml, 311.1, 19.99
ingredient533, 400, ml, 152.6, 16.59
ingredient534, 1100, ml, 411.2, 12.19
ingredient535, 200, ml, 173.3, 17.19
ingredient536, 100, ml, 368.1, 4.99
ingredient537, 600, ml, 358.8, 9.49
ingredient538, 400, g, 568.3, 9.09
ingredient539, 100, ml, 80.5, 9.99
ingredient540, 100, ml, 652.3, 2.39
ingredient541, 1, pcs, 113.4, 10.19
ingredient542, 400, ml, 227.3, 19.09
ingredient543, 100, g, 561.2, 8.99
ingredient544, 300, ml, 352.8, 5.59
ingredient545, 800, ml, 158.6, 5.69
ingredient546, 100, g, 350.5, 0.59
ingredient547, 6, pcs, 63.8, 19.19
ingredient548, 100, g, 317.3, 1.79
ingredient549, 200, ml, 419.0, 3.79
ingredient550, 450, g, 222.3, 15.79
ingredient551, 200, g, 198.7, 6.09
ingredient552, 600, ml, 774.4, 12.89
ingredient553, 150, g, 71.0, 17.29
ingredient554, 500, g, 235.1, 18.09
ingredient555, 300, ml, 240.6, 10.19
ingredient556, 400, g, 492.9, 12.39
ingredient557, 6, pcs, 149.1, 8.99
ingredient558, 50, g, 635.2, 18.59
ingredient559, 350, g, 439.5, 0.89
ingredient560, 550, g, 653.3, 17.99
ingredient561, 250, g, 215.6, 7.39
ingredient562, 200, ml, 180.5, 6.09
ingredient563, 4, pcs, 149.6, 17.49
ingredient564, 300, g, 788.1, 2.99
ingredient565, 900, ml, 58.4, 15.19
ingredient566, 1100, ml, 338.5, 4.09
ingredient567, 600, ml, 336.9, 3.19
ingredient568, 200, ml, 81.0, 3.39
ingredient569, 7, pcs, 114.9, 10.09
ingredient570, 450, g, 491.1, 8.49
ingredient571, 11, pcs, 39.8, 4.29
ingredient572, 800, ml, 437.4, 16.49
ingredient573, 300, ml, 49.6, 13.89
ingredient574, 800, ml, 259.4, 10.89
ingredient575, 100, g, 611.5, 6.89
ingredient576, 50, g, 283.0, 15.99
ingredient577, 9, pcs, 68.4, 10.29
ingredient578, 200, ml, 81.3, 5.59
ingredient579, 500, ml, 55.2, 18.19
ingredient580, 1000, ml, 81.1, 17.79
ingredient581, 400, ml, 498.1, 18.19
ingredient582, 250, g, 207.5, 16.59
ingredient583, 100, g, 235.4, 18.79
ingredient584, 100, g, 245.0, 3.99
ingredient585, 800, ml, 288.5, 18.49
ingredient586, 100, g, 139.9, 11.79
ingredient587, 2, pcs, 93.9, 17.59
ingredient588, 100, g, 765.8, 16.39
ingredient589, 300, ml, 510.3, 14.99
ingredient590, 300, ml, 251.5, 4.79
ingredient591, 350, g, 112.9, 13.49
ingredient592, 200, ml, 25.9, 15.49
ingredient593, 10, pcs, 46.3, 4.09
ingredient594, 100, ml, 304.4, 12.69
ingredient595, 150, g, 628.6, 19.69
ingredient596, 100, ml, 198.8, 10.09
ingredient597, 800, ml, 123.9, 3.09
ingredient598, 250, g, 349.1, 6.99
ingredient599, 10, pcs, 3.3, 0.59
ingredient600, 150, g, 350.0, 8.69
ingredient601, 4, pcs, 156.4, 8.29
ingredient602, 600, ml, 661.7, 15.69
ingredient603, 150, g, 508.9, 17.99
ingredient604, 350, g, 306.5, 12.79
ingredient605, 400, g, 159.5, 1.39
ingredient606, 500, g, 213.8, 4.29
ingredient607, 10, pcs, 131.0, 1.69
ingredient608, 250, g, 409.4, 13.09
ingredient609, 550, g, 735.8, 15.19
ingredient610, 900, ml, 351.0, 18.39
ingredient611, 900, ml, 308.2, 16.69
ingredient612, 350, g, 651.4, 13.79
ingredient613, 6, pcs, 115.2, 6.99
ingredient614, 250, g, 784.5, 18.69
ingredient615, 300, ml, 546.0, 0.99
ingredient616, 700, ml, 25.8, 1.59
ingredient617, 5, pcs, 103.0, 10.89
ingredient618, 300, ml, 734.9, 16.79
ingredient619, 8, pcs, 154.6, 6.99
ingredient620, 200, g, 512.2, 9.99
ingredient621, 500, g, 450.6, 6.99
ingredient622, 700, ml, 696.5, 14.09
ingredient623, 400, g, 286.5, 10.79
ingredient624, 500, ml, 343.0, 18.99
ingredient625, 450, g, 185.4, 16.09
ingredient626, 100, ml, 147.8, 19.79
ingredient627, 500, g, 557.6, 18.29
ingredient628, 400, g, 638.2, 7.49
ingredient629, 1000, ml, 83.5, 11.69
ingredient630, 250, g, 490.6, 6.79
ingredient631, 8, pcs, 81.3, 15.99
ingredient632, 350, g, 203.6, 13.09
ingredient633, 600, ml, 736.4, 14.39
ingredient634, 800, ml, 411.4, 9.49
ingredient635, 200, ml, 377.0, 17.69
ingredient636, 500, ml, 417.8, 2.79
ingredient637, 200, g, 565.5, 11.29
